MTGNP Master Card List — RFC-DNDMP-001  |  Fixed Pre-Defined Card Set
Card ID Base	Card Name	Card Type	Subtype	Color	CMC	W	U	B	R	G	Generic	Power	Toughness	Copies in Set	Simplified Effect
mountain	Mountain	Land	Basic Mountain	R	0	0	0	0	0	0	0	-	-	20	Tap: Add {R}.
forest	Forest	Land	Basic Forest	G	0	0	0	0	0	0	0	-	-	20	Tap: Add {G}.
plains	Plains	Land	Basic Plains	W	0	0	0	0	0	0	0	-	-	20	Tap: Add {W}.
island	Island	Land	Basic Island	U	0	0	0	0	0	0	0	-	-	20	Tap: Add {U}.
swamp	Swamp	Land	Basic Swamp	B	0	0	0	0	0	0	0	-	-	20	Tap: Add {B}.
lightning_bolt	Lightning Bolt	Instant		R	1	0	0	0	1	0	0	-	-	4	Lightning Bolt deals 3 damage to any target.
shock	Shock	Instant		R	1	0	0	0	1	0	0	-	-	4	Shock deals 2 damage to any target.
lava_spike	Lava Spike	Sorcery		R	1	0	0	0	1	0	0	-	-	4	Lava Spike deals 3 damage to target player.
flame_slash	Flame Slash	Sorcery		R	1	0	0	0	1	0	0	-	-	4	Flame Slash deals 4 damage to target creature.
searing_spear	Searing Spear	Instant		R	2	0	0	0	1	0	1	-	-	4	Searing Spear deals 3 damage to any target.
skullcrack	Skullcrack	Instant		R	2	0	0	0	1	0	1	-	-	4	Players can't gain life this turn. Damage can't be prevented this turn. Skullcrack deals 3 damage to any target.
rift_bolt	Rift Bolt	Sorcery		R	3	0	0	0	1	0	2	-	-	4	Rift Bolt deals 3 damage to any target. Suspend 1—{R}.
incinerate	Incinerate	Instant		R	2	0	0	0	1	0	1	-	-	4	Incinerate deals 3 damage to any target. The damaged permanent or player can't be regenerated this turn.
goblin_guide	Goblin Guide	Creature	Goblin Scout	R	1	0	0	0	1	0	0	2	2	4	Haste. Whenever Goblin Guide attacks, defending player reveals top card of library. If it's a land, that player puts it into their hand.
goblin_bushwhacker	Goblin Bushwhacker	Creature	Goblin Warrior	R	1	0	0	0	1	0	0	1	1	4	Kicker {1}{R}. When this enters, if it was kicked, creatures you control get +1/+0 and gain haste until end of turn.
reckless_wurm	Reckless Wurm	Creature	Wurm	R	5	0	0	0	1	0	3	4	4	4	Trample. Madness {2}{R}.
